,hamming_train_list,f1_macro_train_list,f1_micro_train_list,acc_train_list,hamming_test_list,f1_macro_test_list,f1_micro_test_list,acc_test_list,train_l_list
0,0.2275,0.30878573148519084,0.5952986022871665,0.4742857142857143,0.19541666666666666,0.23061685055165496,0.6422578184591914,0.5366666666666666,tensor(3.8729)
1,0.22839285714285715,0.31224335219590366,0.5940971120279276,0.4735714285714286,0.19416666666666665,0.23700698508080292,0.6453576864535768,0.5366666666666666,tensor(3.6442)
2,0.22428571428571428,0.3228410710720471,0.601522842639594,0.48214285714285715,0.19416666666666665,0.2387713997985901,0.6448170731707318,0.5383333333333333,tensor(3.4667)
3,0.22214285714285714,0.3271730579337435,0.6053299492385786,0.48642857142857143,0.19375,0.24412821221331857,0.6453089244851259,0.5383333333333333,tensor(3.3226)
4,0.21875,0.33693959631928294,0.6114811290834126,0.4928571428571429,0.19458333333333333,0.2456744327302703,0.6443259710586443,0.5366666666666666,tensor(3.2037)
5,0.215,0.34482025244175274,0.618020304568528,0.5007142857142857,0.19458333333333333,0.2503323108384458,0.6437833714721587,0.535,tensor(3.0981)
6,0.21357142857142858,0.35051589162253605,0.6207989854153456,0.5028571428571429,0.19583333333333333,0.25267467524809195,0.6412213740458015,0.5333333333333333,tensor(3.0008)
7,0.21089285714285713,0.3584837658005467,0.6256735340729002,0.5078571428571429,0.19708333333333333,0.2518732713100327,0.6386554621848738,0.5316666666666666,tensor(2.9089)
8,0.20857142857142857,0.36379474496146624,0.6299112801013941,0.5121428571428571,0.19708333333333333,0.2518732713100327,0.6386554621848738,0.5316666666666666,tensor(2.8191)
9,0.20892857142857144,0.3638225614147346,0.629277566539924,0.5114285714285715,0.19791666666666666,0.2528825646494268,0.6371275783040488,0.53,tensor(2.7311)
10,0.20857142857142857,0.3658413117750684,0.6299112801013941,0.5121428571428571,0.19791666666666666,0.25730896941786824,0.6371275783040488,0.53,tensor(2.6446)
11,0.2067857142857143,0.3689183214764386,0.6330798479087453,0.5157142857142857,0.19791666666666666,0.25730896941786824,0.6371275783040488,0.53,tensor(2.5581)
12,0.20357142857142857,0.3748890108490057,0.6390120329322356,0.5214285714285715,0.19875,0.2567813118994221,0.6355996944232238,0.5283333333333333,tensor(2.4717)
13,0.20392857142857143,0.374292270489278,0.6383787207093097,0.5207142857142857,0.19875,0.2567813118994221,0.6355996944232238,0.5283333333333333,tensor(2.3855)
14,0.2019642857142857,0.378099840132778,0.6419753086419754,0.5242857142857142,0.19875,0.2567813118994221,0.6355996944232238,0.5283333333333333,tensor(2.2999)
15,0.20214285714285715,0.37855387908408616,0.6417721518987342,0.5235714285714286,0.19875,0.2567813118994221,0.6355996944232238,0.5283333333333333,tensor(2.2134)
16,0.20107142857142857,0.38030819828297757,0.6436708860759494,0.5264285714285715,0.19875,0.2567813118994221,0.6355996944232238,0.5283333333333333,tensor(2.1273)
17,0.20160714285714285,0.379623521502251,0.6428345460297374,0.525,0.19875,0.2567813118994221,0.6355996944232238,0.5283333333333333,tensor(2.0412)
18,0.2007142857142857,0.3812114833572011,0.6443037974683544,0.5271428571428571,0.19958333333333333,0.2576822916666667,0.6340718105423987,0.5266666666666666,tensor(1.9548)
19,0.19982142857142857,0.38246902103311486,0.6457739791073125,0.5292857142857142,0.20041666666666666,0.2571501604703343,0.6325439266615737,0.525,tensor(1.8681)
20,0.20125,0.3807460611677479,0.6434672571970895,0.5257142857142857,0.19958333333333333,0.2576822916666667,0.6340718105423987,0.5266666666666666,tensor(1.7821)
21,0.19982142857142857,0.38279303370217843,0.6457739791073125,0.5292857142857142,0.20041666666666666,0.2571501604703343,0.6325439266615737,0.525,tensor(1.6962)
22,0.19982142857142857,0.3831155715675668,0.6457739791073125,0.5292857142857142,0.20125,0.25661908692204366,0.6310160427807487,0.5233333333333333,tensor(1.6095)
23,0.19910714285714284,0.38477108999308796,0.6470402025957581,0.5307142857142857,0.20125,0.25661908692204366,0.6310160427807487,0.5233333333333333,tensor(1.5233)
24,0.1994642857142857,0.3840080061483718,0.6464070908515354,0.53,0.20125,0.25661908692204366,0.6310160427807487,0.5233333333333333,tensor(1.4370)
25,0.19892857142857143,0.384731887796971,0.6474683544303798,0.5307142857142857,0.20208333333333334,0.2560890491924975,0.6294881588999236,0.5216666666666666,tensor(1.3510)
26,0.19875,0.3851471276976183,0.647673314339981,0.5314285714285715,0.20208333333333334,0.2560890491924975,0.6294881588999236,0.5216666666666666,tensor(1.2647)
27,0.19857142857142857,0.3858024863276735,0.6481012658227847,0.5314285714285715,0.20125,0.25661908692204366,0.6310160427807487,0.5233333333333333,tensor(1.1790)
28,0.19839285714285715,0.38590488658981814,0.6483064260842039,0.5321428571428571,0.20208333333333334,0.2560890491924975,0.6294881588999236,0.5216666666666666,tensor(1.0928)
29,0.19857142857142857,0.3854416401382317,0.6478784040531982,0.5321428571428571,0.20208333333333334,0.2560890491924975,0.6294881588999236,0.5216666666666666,tensor(1.0069)
